Elevation,Q
879.724,6084.00
879.665,5274.00
881.529,11030.75
881.5879,11312.25
882.2855,14699.00
882.4236,15130.50
883.307,20100.50
884.53278,27600.00
886.777,45895.00
883.332,20285.50
884.01025,24626.00
884.4755,27407.00
883.522,21660.70
880.662,7950.00
882.812,16691.00
884.969,30848.00
880.7163529,8178.00
880.7712,8432.00
880.7765,8235.00
885.0795,31087.00
886.389,41977.00
881.8863,12700.00
881.5510417,11800.00
886.3374,42800.00
881.798,12400.00
881.2114762,10200.00
882.4599394,16200.00
880.7285349,8110.00
