Elevation,Q
836.36708,5485.59
839.60657,27241.91
839.4915,26682.75
841.3737377,45895
838.736,20290.6
838.92452,21575
839.2493182,24626
839.5840263,27407
839.0427143,22222
838.9949333,22452
839.9053231,30662
838.366,17438
838.2897736,16640
837.8206,13377
836.9208324,8210
839.8529677,30319
836.9445543,8415
836.9733134,8320
839.95543,31087
837.7246842,12721
837.25525,10135
837.7037808,12675
837.2811224,10175
837.5244,11700
840.9745667,41977
837.7461628,13000
840.9925231,42500
837.5869758,12400
837.3001538,10200
838.2150114,16500
836.9377674,8000
